"","Screening Criteria","Use","Jurisdiction","Parameter","Criteria_mg_L","CriteriaFraction","CF","Criterion_Formula_mgL"
"20","Domestic Water Supply","Domestic Water Supply","Utah","Selenium",0.05,"Dissolved",NA,NA
"21","Domestic Water Supply","Domestic Water Supply","Utah","Silver",0.05,"Dissolved",NA,NA
"22","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Barium",1,"Dissolved",NA,NA
"23","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Cadmium",0.005,"Dissolved",NA,NA
"24","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Chromium",0.05,"Dissolved",NA,NA
"25","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Lead",0.05,"Dissolved",NA,NA
"26","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Silver",0.1,"Dissolved",NA,NA
"27","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Antimony",0.0056,"Dissolved",NA,NA
"28","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Copper",1,"Dissolved",NA,NA
"29","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Nickel",0.1,"Dissolved",NA,NA
"30","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Zinc",5,"Dissolved",NA,NA
"31","Recreation and Human Contact","Recreational","Region 6","Aluminum",170,"Dissolved",NA,NA
"32","Recreation and Human Contact","Recreational","Region 6","Antimony",0.067,"Dissolved",NA,NA
"33","Recreation and Human Contact","Recreational","Region 6","Arsenic",0.05,"Dissolved",NA,NA
"34","Recreation and Human Contact","Recreational","Region 6","Barium",33,"Dissolved",NA,NA
"35","Recreation and Human Contact","Recreational","Region 6","Beryllium",0.33,"Dissolved",NA,NA
"36","Recreation and Human Contact","Recreational","Region 6","Cadmium",0.083,"Dissolved",NA,NA
"37","Recreation and Human Contact","Recreational","Region 6","Chromium",220,"Dissolved",NA,NA
