Date_Time,Site_ID,State,Tribe,Secondary_Tribe,Region,Time_Period,Sample_Type,Hardness,Aluminum,Antimony,Arsenic,Barium,Beryllium,Boron,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Selenium,Silver,Sodium,Thallium,Vanadium,Zinc,Strontium,Uranium
11/14/2018,10HOGBACKC92,New Mexico,Navajo Nation,NA,Region 6,1,Acid soluble,233,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2018,10SANJUANR25,New Mexico,Navajo Nation,NA,Region 6,1,Acid soluble,635,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2018,10SANJUANR26,New Mexico,Navajo Nation,NA,Region 6,1,Acid soluble,275,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2018,10SANJUANR36,New Mexico,Navajo Nation,NA,Region 6,1,Acid soluble,256,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2018,10SANJUANR38,New Mexico,Navajo Nation,NA,Region 6,1,Acid soluble,241,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/12/2018,29SANJUANR05,Utah,Navajo Nation,NA,Region 8,1,Acid soluble,282,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,64Galleg000.4,New Mexico,NA,NA,Region 6,1,Total Recoverable,644,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,64SanJua101.6,New Mexico,NA,NA,Region 6,1,Total Recoverable,158,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/7/2018,66Animas001.7,New Mexico,NA,NA,Region 6,1,Total Recoverable,324,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/7/2018,66Animas009.8,New Mexico,NA,NA,Region 6,1,Total Recoverable,313,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/7/2018,66Animas028.1,New Mexico,NA,NA,Region 6,1,Total Recoverable,279,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/7/2018,66Animas057.0,New Mexico,NA,NA,Region 6,1,Total Recoverable,254,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,66SanJua100.2,New Mexico,NA,NA,Region 6,1,Total Recoverable,223,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,67LaPlat002.3,New Mexico,NA,NA,Region 6,1,Total Recoverable,1630,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,67LaPlat024.8,New Mexico,NA,NA,Region 8,1,Total Recoverable,851,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2018,67SanJua088.1,New Mexico,NA,NA,Region 6,1,Total Recoverable,227,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,67SanJua096.3,New Mexico,NA,NA,Region 6,1,Acid soluble,220,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,67SanJua096.3,New Mexico,NA,NA,Region 6,1,Total Recoverable,220,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2018,67Steven000.7,New Mexico,NA,NA,Region 6,1,Total Recoverable,297,1490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/7/2018,ADW-022,New Mexico,NA,NA,Region 6,1,Total Recoverable,265,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/12/2018,CGCLR713.70,ArizoNew Mexico,NA,NA,Region 9,1,Acid soluble,233,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,02SANJUANR06,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Total Recoverable,233,2090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,02SANJUANR09,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Total Recoverable,233,2226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,04MCELMOCR01,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Total Recoverable,233,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
