"","CharacteristicName","ResultSampleFractionText"
"138","Methylfluorene","Total Recoverable"
"139","C2-Fluorenes","Total Recoverable"
"140","C3-Fluorenes","Total Recoverable"
"141","Carbazole",""
"142","Anthracene","Total Recoverable"
"143","Phenanthrene","Total Recoverable"
"144","C1-Phenanthrenes/anthracenes","Total Recoverable"
"145","C2-Phenanthrenes/anthracenes","Total Recoverable"
"146","C3-Phenanthrenes/anthracenes","Total Recoverable"
"147","C4-Phenanthrenes/anthracenes","Total Recoverable"
"148","Dibenzothiophene","Total Recoverable"
"149","C1-Dibenzothiophenes",""
"150","C2-Dibenzothiophenes","Total Recoverable"
"151","C3-Dibenzothiophenes","Total Recoverable"
"152","C4-Dibenzothiophenes","Total Recoverable"
"153","Fluoranthene","Total Recoverable"
"154","Pyrene","Total Recoverable"
"155","C1-Fluoranthenes/pyrenes","Total Recoverable"
"156","C2-Fluoranthenes/pyrenes","Total Recoverable"
"157","C3-Fluoranthenes/pyrenes","Total Recoverable"
"158","C4-Fluoranthenes/pyrenes",""
"159","Benzo[b]naphtho[2,1-d]thiophene",""
"160","C1-Naphthobenzothiophenes",""
"161","C2-Naphthobenzothiophenes",""
"162","C3-Naphthobenzothiophenes",""
"163","C4-Naphthobenzothiophenes",""
"164","Benz[a]anthracene",""
"165","Chrysene + Triphenylene",""
"166","C1-Chrysenes",""
"167","C2-Chrysenes","Total Recoverable"
"168","C3-Chrysenes","Total Recoverable"
"169","C4-Chrysenes","Total Recoverable"
"170","Benzo(b)fluoranthene","Total Recoverable"
"171","Benzo(j+k)fluoranthene",""
"172","Benzo(a)fluoranthene",""
"173","Benzo[e]pyrene","Total Recoverable"
"174","Benzo[a]pyrene","Total Recoverable"
"175","Perylene","Total Recoverable"
"176","Indeno[1,2,3-cd]pyrene","Total Recoverable"
"177","Dibenz[a,h]anthracene",""
"178","C1-Dibenzo[a,h]anthracenes",""
"179","C2-Dibenzo[a,h]anthracenes",""
"180","C3-Dibenzo(a,h)anthracenes",""
"181","Benzo[ghi]perylene","Total Recoverable"
"182","2,2',3,4',6-Pentachlorobiphenyl","Total Recoverable"
"183","2-Methylnaphthalene","Total Recoverable"
"184","1-Methylnaphthalene","Total Recoverable"
"185","2,6-Dimethylnaphthalene","Total Recoverable"
"186","1,6,7-Trimethylnaphthalene",""
"187","1-Methylfluorene","Total Recoverable"
"188","Dibenzothiophene, 4-methyl-",""
"189","2-Methyldibenzothiophenes/3-Methyldibenzothiophenes",""
"190","1-Methyldibenzothiophene",""
"191","3-Methylphenanthrene",""
"192","2-Methylphenanthrene","Total Recoverable"
"193","2-Methylanthracene","Total Recoverable"
"194","9-Methylphenanthrene/4-Methylphenanthrene",""
"195","1-Methylphenanthrene","Total Recoverable"
"196","3,6-Dimethylphenanthrene",""
"197","Retene",""
"198","2-Methylfluoranthene",""
"199","11H-Benzo[b]fluorene",""
"200","C29-Hopane",""
"201","Oleanane, (18.alpha.)-",""
"202","C30-Hopane",""
"203","C20-TAS",""
"204","C21-TAS",""
"205","C26(20S)-TAS",""
"206","C26(20R)-TAS",""
"207","C28(20S)-TAS",""
"208","C27(20R)-TAS",""
"209","C28(20R)-TAS",""
"210","Naphthalene-d8",""
"211","Acenaphthene-d10",""
"212","Phenanthrene-d10",""
"213","Chrysene-d12",""
"214","Perylene-d12","Total Recoverable"
"215","Dry content",""
"216","Lipid (dry) content",""
"217","Lipid (wet) content",""
"218","2,4,5-Trichlorobiphenyl","Total Recoverable"
"219","2,3,4'-Trichlorobiphenyl","Total Recoverable"
"220","2,3,5-Trichlorobiphenyl","Total Recoverable"
"221","4-Chlorobiphenyl","Total Recoverable"
"222","2,2',4,5'-Tetrachlorobiphenyl","Total Recoverable"
"223","2,2',4,6-Tetrachlorobiphenyl","Total Recoverable"
