Comments,Screening.Criteria,Use,Jurisdiction,CharacteristicName,ResultSampleFractionText,Criteria_mg_L,CF,Criterion_Formula_mgL
21,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Lead,Total Recoverable,0.1,,
215,Aquatic Life,Aquatic Chronic,Utah,Chromium(III),Dissolved,,0.86,(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000
52,Agriculture,Irrigation (long-term),Utah,Cobalt,Dissolved,0.05,,
66,Agriculture,Irrigation (short-term),Utah,Cobalt,Dissolved,5,,
400,Livestock,Livestock Watering,Utah,Cobalt,Dissolved,1,,
450,Recreation and Human Contact,Recreational,Utah,Cobalt,Total,7.931,,
14,Agriculture,Agricultural Uses,Utah,Copper,Dissolved,0.2,,
53,Agriculture,Irrigation (long-term),Utah,Copper,Dissolved,0.2,,
67,Agriculture,Irrigation (short-term),Utah,Copper,Dissolved,5,,
147,Aquatic Life,Aquatic Acute,Utah,Copper,Dissolved,,0.96,(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000
106,Aquatic Life,Aquatic Acute,Colorado,Copper,Dissolved,,1,(CF*exp( 0.9422 *log(hardness)+ -1.7408 ))/1000
176,Aquatic Life,Aquatic Chronic,Colorado,Copper,Dissolved,,1,(CF*exp( 0.8545 *log(hardness)+ -1.7428 ))/1000
216,Aquatic Life,Aquatic Chronic,Utah,Copper,Dissolved,,0.96,(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000
254,Aquatic Life,Warm Water Fish 1-hr,Utah,Copper,Dissolved,0.013,,
267,Aquatic Life,Warm Water Fish 4-day,Utah,Copper,Dissolved,0.009,,
401,Livestock,Livestock Watering,Utah,Copper,Dissolved,0.5,,
451,Recreation and Human Contact,Recreational,Utah,Copper,Total,6.208,,
107,Aquatic Life,Aquatic Acute,Colorado,Hardness,Dissolved,200,,
81,Agriculture,Revised Ag Water Supply,Region 9,Copper,Dissolved,0.2,,
117,Aquatic Life,Aquatic Acute,EPA,Copper,Dissolved,,0.96,(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000
190,Aquatic Life,Aquatic Chronic,EPA,Copper,Dissolved,,0.96,(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000
379,Livestock,Livestock Watering,Region 6,Copper,Dissolved,0.5,,
390,Livestock,Livestock Watering,Region 9,Copper,Dissolved,0.5,,
432,Recreation and Human Contact,Recreational,Region 6,Copper,Dissolved,6.7,,
340,Fish Consumption,Fish Consumption,Navajo Nation,Cadmium,Total,0.008,,
358,Livestock,Livestock Watering,Navajo Nation,Cadmium,Total,0.05,,
