BeneficialUse,Type,Parameter,Criteria mg/L
Livestock,Dissolved,Nickel,1
Domestic Use,Dissolved,Barium,1
Aquatic Life Acute,Dissolved,Iron,1
Recreation,Total,Beryllium,1.242
Recreation,Total,Mercury,1.242
Domestic Use,Total,Copper,1.3
Domestic Use,Dissolved,Copper,1.3
Domestic Use,Total,Boron,1.4
Livestock,Total,Cadmium,1.5
Domestic Use,Total,Lead,1.5
Primary Contact Recreation,Total,Beryllium,1.87
Aquatic Life Acute,Total,Molybdenum,1.895
Irrigation,Total,Nickel,2
Irrigation,Dissolved,Zinc,2
Domestic Use,Total,Barium,2
Livestock,Total,Beryllium,2.5
Primary Contact Recreation,Total,Chromium VI,2.8
Primary Contact Recreation,Total,Uranium,2.8
Recreation,Total,Molybdenum,3.104
Recreation,Total,Selenium,3.104
Livestock,Total,Cobalt,3.8
Primary Contact Recreation,Total,Chlorine,4
Domestic Use,Total,Chlorine,4
Fish Consumption,Dissolved,Selenium,4.2
Livestock,Total,Arsenic,4.5
Fish Consumption,Dissolved,Nickel,4.6
Primary Contact Recreation,Total,Selenium,4.67
Primary Contact Recreation,Total,Silver,4.67
Irrigation,Total,Copper,5
Irrigation,Dissolved,Aluminum,5
Irrigation,Dissolved,Antimony,5
Irrigation,Dissolved,Lead,5
Livestock,Dissolved,Aluminum,5
Recreation,Total,Vanadium,6.208
Livestock,Total,Barium,6.5
Recreation,Total,Copper,6.7
Livestock,Total,Vanadium,7.5
Recreation,Total,Cobalt,7.931
Fish Consumption,Total,Silver,8
Primary Contact Recreation,Total,Copper,9.33
Irrigation,Total,Lead,10
Irrigation,Total,Manganese,10
Irrigation,Total,Zinc,10
Domestic Use,Dissolved,Zinc,10.5
Recreation,Total,Nickel,17.48
Primary Contact Recreation,Total,Manganese,18.667
Primary Contact Recreation,Total,Nickel,18.67
Irrigation,Dissolved,Iron,20
Livestock,Dissolved,Zinc,25
Fish Consumption,Dissolved,Zinc,26
Recreation,Total,Manganese,31.04
Livestock,Total,Zinc,45
Primary Contact Recreation,Total,Barium,98
Livestock,Dissolved,Total Dissolved solids,120
Recreation,Total,Barium,124.159
Primary Contact Recreation,Total,Boron,126
